date,open,high,low,close,volume
2016-11-25,210.677,211.1153,210.5912,211.0772,37872255
2016-11-28,210.7341,211.039,209.9718,210.0862,76572511
2016-11-29,210.1243,211.0009,209.7908,210.4959,69886690
2016-11-30,211.182,211.363,209.9242,209.9909,113291793
2016-12-01,210.3244,210.3244,208.8189,209.2191,79040487
2016-12-02,209.3144,209.867,208.9237,209.3239,74840347
2016-12-05,210.2482,210.9628,210.029,210.5817,67837821
2016-12-06,210.7913,211.2907,210.2596,211.2487,59877377
2016-12-07,211.0772,214.0787,210.9438,214.012,110738050
2016-12-08,213.9834,215.0601,213.688,214.536,99714387
2016-12-09,214.7838,215.851,214.7457,215.8319,88005766
2016-12-12,215.7271,216.2607,215.1173,215.5842,101906238
2016-12-13,216.3179,217.5757,216.2988,217.023,110477485
2016-12-14,216.6895,217.4708,214.7409,215.2316,142501812
2016-12-15,215.4984,217.0706,215.2415,216.1178,124972554
2016-12-16,216.6247,216.6918,215.3403,215.695,156420152
2016-12-19,215.8963,216.6343,215.7333,216.1646,90341147
2016-12-20,216.7589,217.1614,216.5001,216.9985,89838810
2016-12-21,216.8547,217.0464,216.3947,216.3947,67909039
2016-12-22,216.2317,216.3659,215.58,216.0209,56219071
2016-12-23,216.0688,216.3467,215.8579,216.3372,36697822
2016-12-27,216.6343,217.3148,216.6151,216.8739,42672487
2016-12-28,217.1614,217.1806,214.9569,215.0816,64095014
2016-12-29,215.1582,215.5512,214.5448,215.0336,48696080
2016-12-30,215.3978,215.4937,213.4809,214.2477,108998328
2017-01-03,215.695,216.4522,214.5867,215.8867,91366522
2017-01-04,216.2509,217.334,216.2413,217.171,78744433
2017-01-05,216.8739,217.171,216.1167,216.9985,78379012
2017-01-06,217.1231,218.2924,216.5193,217.7749,71559922
2017-01-09,217.4873,217.6408,217.0141,217.056,46939676
2017-01-10,217.0752,218.0049,216.6247,217.056,63771939
2017-01-11,216.9602,217.6694,216.2221,217.6694,74650016
2017-01-12,217.0943,217.334,215.6135,217.1231,72113181
2017-01-13,217.3148,217.957,217.2765,217.6215,62717865
2017-01-17,216.9122,217.3627,216.4234,216.8547,61240814
2017-01-18,217.1279,217.3819,216.5193,217.334,54793302
2017-01-19,217.4202,217.5736,216.0496,216.5288,66608787
2017-01-20,217.286,217.8707,216.5882,217.3244,129168623
2017-01-23,216.9506,217.3867,215.9154,216.7589,75061645
2017-01-24,216.9985,218.6087,216.8739,218.1487,95555295
2017-01-25,219.203,220.0369,219.0209,220.0369,84437712
2017-01-26,219.8739,220.171,219.5001,219.8068,59970719
2017-01-27,219.8931,220.056,219.2605,219.4618,59695224
2017-01-30,218.695,218.7238,217.0081,218.1007,79737252
2017-01-31,217.5544,218.1487,216.9218,218.0816,75880805
2017-02-01,218.7765,219.0976,217.5161,218.1678,79117651
2017-02-02,217.7653,218.6279,217.4011,218.3116,69657560
2017-02-03,219.318,220.0177,218.973,219.8164,80563168
2017-02-06,219.3659,219.803,219.0496,219.4234,57790108
2017-02-07,219.8547,220.1189,219.2222,219.433,57931151
2017-02-08,219.1167,219.8643,218.8292,219.7206,51566218
2017-02-09,220.0273,221.3596,219.9889,221.0241,65955245
2017-02-10,221.4075,222.1455,221.0448,221.8963,66015892
2017-02-13,222.4426,223.3915,222.4139,223.104,55182050
2017-02-14,222.9027,224.0049,222.5193,223.9954,71108983
2017-02-15,223.7557,225.3756,223.6982,225.1647,86785826
2017-02-16,225.203,225.3899,224.1391,224.973,84722437
2017-02-17,224.235,225.3276,224.2158,225.3276,77204104
2017-02-21,225.7398,226.8612,225.7302,226.6695,88946051
2017-02-22,226.219,226.7174,226.0369,226.4682,62115185
2017-02-23,227.0433,227.0625,225.7781,226.6216,74615902
2017-02-24,225.6823,226.9601,225.6343,226.9091,82381612
2017-02-27,226.8133,227.4555,226.5353,227.2638,56515440
2017-02-28,226.842,227.1104,226.2142,226.6503,96961938
2017-03-01,228.4906,230.3405,228.4714,229.8229,149158170
2017-03-02,229.612,229.6216,228.3181,228.3756,70245978
2017-03-03,228.2797,228.7015,227.858,228.5194,81974300
2017-03-06,227.6376,228.2318,227.1679,227.8388,55391533
2017-03-07,227.5034,227.8963,226.9283,227.1583,65103737
2017-03-08,227.4842,227.7717,226.5832,226.7366,78168795
2017-03-09,226.8708,227.3884,225.9506,227.0241,90683918
2017-03-10,228.088,228.136,226.7654,227.8197,81991652
2017-03-13,227.7526,227.9826,227.3884,227.9347,57256824
2017-03-14,227.3308,227.3884,226.382,227.0625,59880778
2017-03-15,227.6951,229.497,227.4363,229.0273,96081750
2017-03-16,229.1807,229.267,228.2126,228.5769,78343951
2017-03-17,228.8686,229.0804,228.1755,228.1755,89002111
2017-03-20,228.1755,228.4932,227.4921,227.9252,52536979
2017-03-21,228.5991,228.7339,224.8544,224.9988,131809275
2017-03-22,225.0373,225.8459,224.3442,225.5283,97569204
2017-03-23,225.2587,226.5487,224.8737,225.2876,100410277
2017-03-24,225.6245,226.2599,224.2576,225.124,112504853
2017-03-27,223.266,225.1817,222.958,224.8929,87454452
2017-03-28,224.556,227.0011,224.4308,226.5294,93483915
2017-03-29,226.2117,227.0011,225.9566,226.7412,61950354
2017-03-30,226.6738,227.6846,226.4813,227.4632,56737890
2017-03-31,227.0877,227.675,226.876,226.9337,73733094
2017-04-03,226.9915,227.2129,225.1721,226.539,85546486
2017-04-04,226.2214,226.7797,225.793,226.6834,56466195
2017-04-05,227.4343,228.5221,225.7785,226.0096,108800604
2017-04-06,226.1636,227.2225,225.6678,226.6449,69135757
2017-04-07,226.3658,227.184,225.8748,226.4139,74386480
2017-04-10,226.5679,227.4295,225.9615,226.5487,67615302
2017-04-11,226.1251,226.3946,224.6234,226.2791,88045276
2017-04-12,225.9711,226.1829,225.0373,225.2876,81864436
2017-04-13,224.9122,225.7304,223.8244,223.8244,92880394
2017-04-17,224.402,225.8074,224.1806,225.8074,68405367
2017-04-18,224.9892,225.7304,224.3731,225.1336,83225821
2017-04-19,225.7593,226.1732,224.4694,224.7196,68699868
2017-04-20,225.4031,227.0348,225.0469,226.5487,92572186
2017-04-21,226.462,226.5198,225.3839,225.8267,110389847
2017-04-24,228.3199,228.5413,225.8005,228.3103,119209877
2017-04-25,229.0227,230.0238,228.9264,229.6388,76698265
2017-04-26,229.6002,230.5821,229.4462,229.4944,84702455
2017-04-27,229.8505,230.0238,229.09,229.6869,57410326
2017-04-28,229.9757,230.0046,229.0419,229.1863,63532845
2017-05-01,229.7639,230.2356,229.297,229.7639,66882521
2017-05-02,229.9179,230.0527,229.3981,229.8505,57375732
2017-05-03,229.3885,229.954,228.8205,229.5714,73137731
2017-05-04,229.9083,229.9973,228.8975,229.8409,61443570
2017-05-05,230.2548,230.765,229.7639,230.7458,62001269
2017-05-08,230.7939,230.9576,230.2356,230.7073,48385730
2017-05-09,230.9961,231.2175,230.1104,230.4955,51363200
2017-05-10,230.4474,230.9094,230.2163,230.9094,54293799
2017-05-11,230.4089,230.6207,229.2344,230.4377,62358346
2017-05-12,230.1586,230.4833,229.7543,230.0527,53912730
2017-05-15,230.5244,231.4581,230.5051,231.3234,61918937
2017-05-16,231.6507,231.6796,230.6784,231.1116,51241791
2017-05-17,229.2056,229.7254,226.9434,227.0107,172174107
2017-05-18,226.9241,228.8686,226.6353,227.9252,107047656
2017-05-19,228.4643,230.149,228.4066,229.4077,115011373
2017-05-22,229.9757,230.7554,229.8987,230.5725,61010602
2017-05-23,230.9865,231.2656,230.5629,231.0827,48341683
2017-05-24,231.3426,231.7373,230.9672,231.6218,49181099
2017-05-25,232.1898,233.0369,231.9587,232.7288,64071661
2017-05-26,232.5171,232.8636,232.4304,232.6807,46629905
2017-05-30,232.3245,232.7577,232.1513,232.4786,35201897
2017-05-31,232.8059,232.8444,231.6507,232.4208,91796016
2017-06-01,232.931,234.2883,232.6133,234.2691,68962024
2017-06-02,234.3268,235.2221,233.9995,235.0488,88666128
2017-06-05,234.8563,235.174,234.6541,234.8755,44698825
2017-06-06,234.2498,234.8659,234.038,234.1247,50375430
2017-06-07,234.5001,234.8082,233.7589,234.5579,54144311
2017-06-08,234.6638,235.2028,234.0862,234.6734,65950691
2017-06-09,234.9718,235.8574,232.9117,234.3172,132256362
2017-06-12,234.0477,234.3268,233.3257,234.2691,86108102
2017-06-13,234.8659,235.4724,234.4808,235.4146,60066953
2017-06-14,235.713,235.7227,234.2017,235.1162,78602311
2017-06-15,233.6145,234.7985,233.3064,234.6638,66464888
2017-06-16,234.8408,234.8988,233.7416,234.715,84553097
2017-06-19,235.634,236.7368,235.5276,236.6691,65123802
2017-06-20,236.2725,236.2821,235.0536,235.073,56906368
2017-06-21,235.4696,235.634,234.4925,235.0149,55977569
2017-06-22,235.0246,235.576,234.715,234.9085,44148059
2017-06-23,234.9762,235.5566,234.5506,235.189,66986801
2017-06-26,235.9339,236.3982,235.1068,235.3438,56700477
2017-06-27,235.102,235.4309,233.4285,233.4478,82247666
2017-06-28,234.5796,235.7549,234.3184,235.5373,70042599
2017-06-29,235.7017,235.7598,232.1177,233.4672,106949719
2017-06-30,234.3668,234.7828,233.6848,233.9025,86820694
2017-07-03,234.9472,235.4309,234.2991,234.2991,39153806
2017-07-05,234.7054,235.073,233.8057,234.8408,54427596
2017-07-06,233.9895,234.125,232.4902,232.6933,66115317
2017-07-07,233.3317,234.3668,232.7073,234.2023,57972268
2017-07-10,234.0476,234.8698,233.8638,234.4539,36663274
2017-07-11,234.2507,234.628,232.9835,234.2797,50354614
2017-07-12,235.3535,236.2241,235.3535,236.0403,59610405
2017-07-13,236.05,236.5627,235.7985,236.4369,39471637
2017-07-14,236.4466,237.9363,236.3305,237.5397,60262692
2017-07-17,237.4526,237.8782,237.3172,237.5106,33531917
2017-07-18,237.056,237.6944,236.6787,237.6364,42742498
2017-07-19,237.9846,238.9326,237.975,238.923,51034260
2017-07-20,239.2035,239.3389,238.4199,239.0294,47135183
2017-07-21,238.3909,238.8456,238.1394,238.8166,88711019
2017-07-24,238.7295,238.9133,238.2362,238.7585,46622256
2017-07-25,239.5904,239.7065,239.0874,239.3389,54915591
2017-07-26,239.6581,239.6968,239.0584,239.3486,47575422
2017-07-27,239.8613,239.9,237.6557,239.1261,70766568
2017-07-28,238.5941,238.9907,238.091,238.8456,50088359
2017-07-31,239.2905,239.397,238.478,238.7101,65838659
2017-08-01,239.3776,239.4163,238.6579,239.2422,55050401
2017-08-02,239.3873,239.513,238.3232,239.3583,47211216
2017-08-03,239.2325,239.2615,238.5844,238.8939,40855997
2017-08-04,239.4357,239.6968,238.9036,239.3292,60191838
2017-08-07,239.4066,239.7742,239.2905,239.7742,31995021
2017-08-08,239.426,240.7803,238.7682,239.1841,61719353
2017-08-09,238.4199,239.2325,238.0233,239.1745,62632619
2017-08-10,238.2458,238.3909,235.7404,235.7985,120479470
2017-08-11,236.05,236.8045,235.7888,236.1467,74869947
2017-08-14,237.5687,238.7295,237.53,238.4877,73291919
2017-08-15,238.9133,238.9326,238.1201,238.4586,55242746
2017-08-16,239.039,239.484,238.4006,238.8746,56715544
2017-08-17,238.1975,238.5457,235.1503,235.1503,128490396
2017-08-18,234.9665,236.2134,234.2894,234.7828,136747986
2017-08-21,234.715,235.2567,233.9315,234.9665,65469736
2017-08-22,235.6147,237.5977,235.5953,237.4236,63140101
2017-08-23,236.3498,237.0463,236.1854,236.5723,50203837
2017-08-24,236.998,237.1721,235.7888,236.0209,50741671
2017-08-25,236.9012,237.588,236.4079,236.5723,64445912
2017-08-28,237.1624,237.1914,236.1177,236.582,40565606
2017-08-29,235.1213,237.1431,234.9956,236.8529,51135715
2017-08-30,236.8335,238.2748,236.6304,237.975,62030805
2017-08-31,238.6618,239.6775,238.0111,239.4066,103803880
2017-09-01,239.8226,240.2192,239.5808,239.7452,62006989
2017-09-05,239.1841,239.4357,236.9496,238.0233,91398777
2017-09-06,238.7779,239.2035,238.1878,238.8359,57916867
2017-09-07,239.1745,239.1938,238.3522,238.8069,58034730
2017-09-08,238.4877,239.039,238.2555,238.5264,63832825
2017-09-11,239.9387,241.1575,239.9193,241.0705,71364848
2017-09-12,241.4767,241.9217,241.2736,241.883,56896027
2017-09-13,241.5638,242.0378,241.438,241.9991,59228002
2017-09-14,241.6412,242.1442,241.4477,241.9217,95446349
2017-09-15,241.761,242.3443,241.6444,242.2471,95432382
2017-09-18,242.6554,243.1512,242.3346,242.7623,46235238
2017-09-19,243.0345,243.1026,242.6457,243.0053,47108148
2017-09-20,243.1026,243.2192,241.9846,243.0928,59574083
2017-09-21,242.9179,243.0151,242.2422,242.4415,48211398
2017-09-22,242.111,242.6748,242.0818,242.4901,51214032
2017-09-25,242.2082,242.6002,241.168,241.9943,57064357
2017-09-26,242.4707,242.7429,241.8728,242.1401,54081959
2017-09-27,242.9179,243.5109,241.936,243.0831,81001426
2017-09-28,242.772,243.4623,242.6748,243.3748,44778841
2017-09-29,243.365,244.3177,243.1609,244.2302,85578002
2017-10-02,244.483,245.2899,244.2911,245.2899,59022985
2017-10-03,245.426,245.844,245.2024,245.8148,66810169
2017-10-04,245.6496,246.3787,245.5232,246.1065,55953619
2017-10-05,246.4759,247.5841,246.1415,247.5647,63522757
2017-10-06,247.0689,247.6043,246.7772,247.2828,80645998
2017-10-09,247.5355,247.6036,246.5828,246.8745,35803138
2017-10-10,247.5063,247.9438,246.9036,247.5258,43057363
2017-10-11,247.4189,247.9146,247.2341,247.9146,47674325
2017-10-12,247.5647,247.9535,247.2779,247.5452,47065144
2017-10-13,248.0313,248.1577,247.5452,247.8466,54800435
2017-10-16,248.0994,248.391,247.7202,248.1771,38221675
2017-10-17,248.1188,248.4007,247.8758,248.3521,31560964
2017-10-18,248.7701,248.8187,248.3813,248.5951,40888330
2017-10-19,247.7299,248.7021,247.2633,248.6632,61903788
2017-10-20,249.5478,249.9756,248.648,249.9464,89176377
2017-10-23,250.3061,250.3353,248.8868,248.9743,63915306
